Date;Closing_rate;Change;Turnover;Transactions
02.08.2002;16,8;0,002980628;656435;391
05.08.2002;16,75;-0,002980628;405702;320
06.08.2002;16,75;0;220713;300
07.08.2002;16,45;-0,018072781;586544;514
08.08.2002;16,65;0,012084739;542713;381
09.08.2002;16,7;0,002998503;221345;287
12.08.2002;16,5;-0,012048339;131870;266
13.08.2002;16,9;0,023953241;750276;565
14.08.2002;16,6;-0,017910927;808227;619
16.08.2002;16,05;-0,033693846;1332430;1349
19.08.2002;15,8;-0,01569891;857750;969
20.08.2002;15,3;-0,032157112;966341;969
21.08.2002;16,65;0,084557388;3926590;1722
22.08.2002;16,6;-0,003007521;1291543;900
23.08.2002;16,55;-0,003016594;413457;521
26.08.2002;16,95;0,023881732;293720;380
27.08.2002;17,65;0,04046795;978227;1040
28.08.2002;17,35;-0,017143277;989149;859
29.08.2002;16,75;-0,035194248;684971;697
30.08.2002;17,15;0,023599915;679420;596
02.09.2002;17,35;0,011594333;569779;524
03.09.2002;16,85;-0,02924185;782711;731
04.09.2002;16,95;0,005917177;803335;744
05.09.2002;16,7;-0,014859114;201362;428
06.09.2002;17,15;0,026589454;371565;477
09.09.2002;17,25;0,00581397;231017;371
10.09.2002;17,5;0,014388737;821770;595
11.09.2002;17,55;0,002853069;531038;615
12.09.2002;17,3;-0,014347448;421735;478
13.09.2002;17;-0,017493157;369087;452
16.09.2002;17,15;0,00878483;574103;616
17.09.2002;17,2;0,00291121;1053492;999
18.09.2002;16,85;-0,020558727;646213;483
19.09.2002;16,75;-0,005952399;653110;487
